surname,count,country
Sahu,16578,IN
Das,16221,IN
Kumar,15677,IN
Mishra,15296,IN
Choudhary,14227,IN
Ram,13242,IN
Parmar,13082,IN
Rana,12946,IN
Mondal,12856,IN
Pal,12797,IN
Gupta,12445,IN
Saini,12076,IN
Pandey,12036,IN
Rathod,11699,IN
Prajapati,11455,IN
Ahmad,11345,IN
Nayak,10995,IN
Mandal,10524,IN
Tiwari,10413,IN
Yadav,10393,IN
Hussain,10308,IN
Shah,10232,IN
Malik,10128,IN
Bhai,9989,IN
Ahmed,9917,IN
Devi,9770,IN
Islam,9708,IN
Roy,9566,IN
Meena,9456,IN
Solanki,9250,IN
Raja,9213,IN
Sarkar,9175,IN
Chaudhary,9073,IN
Prasad,8975,IN
Soni,8845,IN
Jadhav,8611,IN
Thakur,8508,IN
Pawar,8469,IN
Thakor,8382,IN
Jha,7993,IN
Jain,7901,IN
Ghosh,7534,IN
Kashyap,7523,IN
Ray,7510,IN
Behera,7394,IN
Babu,7301,IN
Pradhan,7231,IN
Biswas,7099,IN
Reddy,6903,IN
Rawat,6834,IN
Sahoo,6424,IN
Saha,6379,IN
Nath,6335,IN
Patil,6313,IN
Naik,6240,IN
Lal,6168,IN
Paswan,6156,IN
Jain,6033,IN
Rai,6021,IN
Gurjar,6020,IN
Verma,6012,IN
Rajput,5820,IN
Joshi,5807,IN
Shinde,5758,IN
Sah,5695,IN
Pandit,5575,IN
Prakash,5505,IN
Kushwaha,5499,IN
Paul,5474,IN
Jaiswal,5454,IN
Mishra,5389,IN
Rathore,5368,IN
Barman,5319,IN
Raju,5097,IN
Chouhan,5095,IN
Pathan,5005,IN
Rao,4851,IN
Dey,4820,IN
Rani,4806,IN
Qureshi,4764,IN
Raj,4698,IN
Maurya,4595,IN
Shukla,4589,IN
Shah,4568,IN
Goswami,4557,IN
King,4546,IN
Dutta,4525,IN
Chavan,4524,IN
Sinha,4520,IN
Chauhan,4519,IN
Mahto,4422,IN
Mali,4381,IN
Vishwakarma,4380,IN
Shaikh,4378,IN
Rahman,4374,IN
Kamble,4292,IN
Chaudhari,4289,IN
Gautam,4283,IN
Dubey,4229,IN
Uddin,4211,IN
Raza,4180,IN
Mahato,4167,IN
Vijay,4140,IN
Sen,4137,IN
Gowda,4103,IN
Mehta,4074,IN
Sagar,3990,IN
Nishad,3972,IN
Sheikh,3948,IN
Giri,3919,IN
Kaur,3910,IN
Ravi,3890,IN
Bhardwaj,3871,IN
Ranjan,3804,IN
Choudhary,3774,IN
Chand,3774,IN
Panchal,3755,IN
Sahu,3744,IN
Soni,3728,IN
More,3688,IN
Rahul,3644,IN
Agarwal,3643,IN
Krishna,3638,IN
Sahani,3618,IN
Gaikwad,3607,IN
Ji,3565,IN
Vasava,3558,IN
Mani,3558,IN
Gogoi,3557,IN
Kumawat,3549,IN
Patra,3537,IN
Pandey,3504,IN
Varma,3474,IN
Debnath,3441,IN
Majhi,3420,IN
Pathak,3379,IN
Ghosh,3322,IN
Rana,3321,IN
Desai,3308,IN
Vaghela,3292,IN
Sonu,3291,IN
Jat,3264,IN
Suresh,3246,IN
Ramesh,3235,IN
Sing,3223,IN
Kalita,3212,IN
Saha,3156,IN
Sarkar,3141,IN
Jena,3099,IN
Tiwari,3080,IN
Shaw,3070,IN
Negi,3066,IN
Anand,3062,IN
Sinha,3053,IN
Priya,3047,IN
Makwana,3044,IN
Mondal,3026,IN
Ngono,3706,CM
Emmanuel,2767,CM
Moussa,2743,CM
Fotso,2463,CM
Oumarou,2449,CM
Ibrahim,2298,CM
Kengne,2296,CM
Bouba,2152,CM
Nana,2127,CM
Nana,2093,CM
Hamadou,2023,CM
Kamdem,1997,CM
Adamou,1970,CM
Yaya,1953,CM
Marie,1873,CM
Mengue,1857,CM
Aboubakar,1834,CM
Talla,1787,CM
Njoya,1729,CM
Atangana,1724,CM
Junior,1709,CM
Amadou,1677,CM
Kenfack,1673,CM
Kenfack,1670,CM
Mohamadou,1660,CM
Dongmo,1659,CM
Dongmo,1626,CM
Kengne,1606,CM
Joseph,1602,CM
Kamga,1590,CM
Ali,1567,CM
Tchinda,1546,CM
Elvis,1472,CM
Simo,1419,CM
Paul,1409,CM
Abdou,1400,CM
Issa,1396,CM
Fotso,1379,CM
Simo,1358,CM
Onana,1341,CM
Eric,1304,CM
Mohamed,1293,CM
Mahamat,1283,CM
Rose,1279,CM
Manga,1228,CM
Sali,1226,CM
Samuel,1220,CM
Oumar,1211,CM
Kenne,1197,CM
Manga,1184,CM
Abdoulaye,1174,CM
Daniel,1167,CM
Jean,1161,CM
Mballa,1158,CM
Mbarga,1149,CM
Baba,1142,CM
Kameni,1130,CM
Abba,1129,CM
Bello,1126,CM
Kenne,1109,CM
Kamga,1093,CM
Amougou,1084,CM
John,1084,CM
Mvondo,1079,CM
Nsangou,1075,CM
Ngah,1072,CM
Fokou,1071,CM
Hassan,1064,CM
David,1062,CM
Nga,1056,CM
Solange,1041,CM
Essomba,1037,CM
Maffo,1026,CM
Ndongo,1025,CM
Kameni,1024,CM
Bih,1000,CM
Kamdem,994,CM
Bright,962,CM
Ousmanou,951,CM
Eyenga,950,CM
Atangana,937,CM
Tagne,925,CM
Ngono,920,CM
Hamidou,902,CM
Njoya,892,CM
Ahmadou,884,CM
Carine,882,CM
Christian,881,CM
Martin,880,CM
Tchinda,878,CM
Mba,871,CM
Grace,855,CM
Peter,854,CM
Francis,853,CM
Mbida,846,CM
Fotsing,845,CM
Ndongo,844,CM
Flore,840,CM
Magne,833,CM
Linda,828,CM
Ernest,823,CM
Fouda,821,CM
Onana,811,CM
Noah,801,CM
Florence,794,CM
George,794,CM
Tchoffo,792,CM
Mballa,791,CM
Owona,791,CM
Laure,780,CM
Blaise,777,CM
Ateba,772,CM
Tsafack,767,CM
Donfack,764,CM
Ndi,763,CM
Mbah,756,CM
Biloa,754,CM
Silva,198837,BR
Santos,119156,BR
Oliveira,89672,BR
Lima,64785,BR
Souza,64029,BR
Alves,60570,BR
Rodrigues,56428,BR
Sousa,52163,BR
Ferreira,46906,BR
Maria,45444,BR
Pereira,44780,BR
Sousa,41259,BR
Gomes,39672,BR
Henrique,32220,BR
Costa,31926,BR
Soares,27881,BR
Martins,27685,BR
Costa,27470,BR
Ribeiro,26257,BR
Fernandes,24508,BR
Nascimento,24288,BR
Ribeiro,24060,BR
Carvalho,24014,BR
Soares,23902,BR
Lopes,23259,BR
Almeida,22861,BR
Fernandes,21899,BR
Araujo,21364,BR
Vieira,21303,BR
Nascimento,21112,BR
Lopes,20218,BR
Junior,20159,BR
Barbosa,19939,BR
Vieira,19096,BR
Cristina,19016,BR
Carvalho,18850,BR
Almeida,18848,BR
Araujo,18668,BR
Carlos,18661,BR
Barbosa,18196,BR
Rocha,17703,BR
Andrade,17086,BR
Rocha,15799,BR
Freitas,15585,BR
Nunes,15255,BR
Mendes,15055,BR
Dias,14744,BR
Marques,14378,BR
Nunes,14030,BR
Andrade,14007,BR
Batista,13991,BR
Melo,13846,BR
Freitas,13477,BR
Dias,13261,BR
Cardoso,13150,BR
Mendes,12814,BR
Marques,12745,BR
Moura,12432,BR
Cardoso,12252,BR
Moreira,12063,BR
Santana,12058,BR
Machado,12019,BR
Medeiros,11461,BR
Santana,11347,BR
Neto,11174,BR
Batista,11165,BR
Filho,11164,BR
Moreira,11033,BR
Aparecida,10895,BR
